id_box,box_code,notes
1,30373193921785,Nulla mollis molestie lorem.
2,4868510829991273,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
3,201705484882759,Proin interdum mauris non ligula pellentesque ultrices.
4,3550463959419571,Ut at dolor quis odio consequat varius.
5,3559629249154571,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
6,5602233298900786,Vivamus in felis eu sapien cursus vestibulum.
7,6762153955537299850,Etiam vel augue.
8,5488912776948222,Curabitur convallis.
9,3530630346039255,In hac habitasse platea dictumst.
10,201530730161489,Etiam pretium iaculis justo.
11,374622422919091,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
12,3574131552196019,Praesent blandit lacinia erat.
13,337941109132794,Morbi porttitor lorem id ligula.
14,377944919196604,Pellentesque ultrices mattis odio.
15,5602230559265464227,Nunc nisl.
16,3550775893477625,Nulla tellus.
17,3540987834030610,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
18,3557924814546463,Suspendisse potenti.
19,201838791662695,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
20,4026356234108536,Curabitur gravida nisi at nibh.
21,3549328955366940,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
22,4041597484674,Nunc purus.
23,4917328315327832,Vivamus vestibulum sagittis sapien.
24,201998346040431,Aenean auctor gravida sem.
25,3548276902115319,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
26,5108755050420958,Vivamus vel nulla eget eros elementum pellentesque.
27,5010123774771296,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
28,4041599566658245,Nam dui.
29,201560590177085,Morbi non lectus.
30,3541293269856150,Mauris sit amet eros.
31,3550334248055098,Nulla nisl.
32,5518265725270485,In congue.
33,30316682125061,In hac habitasse platea dictumst.
34,3578684253550930,In sagittis dui vel nisl.
35,6379273389060578,Vivamus in felis eu sapien cursus vestibulum.
36,374288427692123,Sed vel enim sit amet nunc viverra dapibus.
37,502073623601324680,Fusce posuere felis sed lacus.
