id_box,box_code,notes
1,374622585272932,Pellentesque eget nunc.
2,374283063160121,Proin interdum mauris non ligula pellentesque ultrices.
3,3559292766373882,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
4,3578693699645337,Donec semper sapien a libero.
5,3542412771387954,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
6,201767454170003,Mauris ullamcorper purus sit amet nulla.
7,5425017561072232,Aliquam quis turpis eget elit sodales scelerisque.
8,3551117303188824,Vestibulum rutrum rutrum neque.
9,3582089779042442,Curabitur convallis.
10,3560922105832720,Nam nulla.
