id,city,postal_code,address
1,Landerneau,29411 CEDEX,7080 Linden Center
2,Hronov,549 31,097 Mariners Cove Pass
3,Banī Khallād,,083 Meadow Ridge Park
4,Cortiços,4745-616,48 Sloan Crossing
5,Hưng Nguyên,,08 Bowman Avenue
6,Kut Chum,18190,4962 Fordem Trail
7,Pont-Rouge,G3H,5 Delladonna Court
8,Khasht’arrak,,405 Bartelt Pass
9,Täby,183 77,26 Petterle Pass
10,Soio,,567 Hanover Way
11,Jam,,75789 Mccormick Trail
12,Xekar,,337 Kropf Hill
13,Zhoushan,,76 Tomscot Parkway
14,Cicapar,,28927 Karstens Crossing
15,Francova Lhota,756 14,9 Bunting Trail
16,Dayuanhuizu,,50 Scoville Drive
17,Pruchnik,37-560,0 Petterle Junction
18,Sabang,4110,26954 Dottie Point
19,Yaroslavl,353827,8 Muir Street
20,Jawand,,0004 Carpenter Junction
21,Mayo,6813,5 8th Road
22,Vila do Bispo,8650-409,58 School Avenue
23,Kuala Lumpur,50546,7065 Grim Road
24,Hats’avan,,66 Barnett Plaza
25,Panimbang,,11762 Fallview Terrace
26,General Lavalle,7103,6 Bay Road
27,San Francisco,8501,6244 Novick Way
28,Wuduhe,,816 Logan Avenue
29,Concepcion,7213,4 Brickson Park Parkway
30,Horana South,12440,38127 Mcguire Avenue
31,Kaduluhur,,09 Atwood Alley
32,Sąspów,32-082,9 Banding Center
33,Shouyan,,3210 Mariners Cove Avenue
34,Ochakovo-Matveyevskoye,249028,1 Ronald Regan Center
35,Causwagan,1709,65714 Cherokee Junction
36,Clonskeagh,D04,152 Scott Court
37,Qishui,,30511 Magdeline Crossing
38,Granada,252257,1658 Mayer Park
39,Le Havre,76600,2233 Heffernan Terrace
40,Dujuuma,,020 Rockefeller Road
41,Cértegui,272027,22951 Grover Street
42,Kentville,B4N,40976 Monterey Drive
43,Kostino,613060,3524 Dottie Pass
44,Golubinci,,5 Nova Avenue
45,Dabu,,84077 Blackbird Terrace
46,Dandu,,3 Ronald Regan Avenue
47,Suruhan,,77681 Spohn Trail
48,Orizari,2302,381 Ludington Lane
49,Naas,W91,4 Fair Oaks Lane
50,San Nicolas,4207,2204 Caliangt Avenue
51,Longxi,,75805 Cherokee Pass
52,Cariamanga,,41 Springs Plaza
53,Asaita,,9 Stoughton Place
54,Gexi,,273 Hoard Point
55,Karabash,423229,74798 North Lane
56,Nantes,44335 CEDEX 3,6 Hanover Avenue
57,Yekaterinovka,692974,40897 Helena Alley
58,Villavicencio,500017,56166 East Parkway
59,Sambong,,6 Ronald Regan Parkway
60,Gasa,,610 Eagle Crest Drive
61,Salimbao,1067,522 Armistice Plaza
62,Banjar Susut Kaja,,84278 Brentwood Park
63,Beitai,,53324 Michigan Point
64,La Esperanza,95590,16 Hooker Park
65,Betong,,098 Bobwhite Pass
66,Banjar Brahmanabukit,,8089 Buhler Crossing
67,Cincinnati,45249,27003 Kings Way
68,Gainesville,32627,84 Londonderry Junction
69,Banana Village,,0567 Elka Avenue
70,Canchaque,,4616 Mandrake Court
71,Wuyang,,4 Lukken Parkway
72,Studená,331 41,0358 Bashford Way
73,Shibīn al Qanāţir,,12859 International Drive
74,Panambi,98280-000,19633 Stone Corner Trail
75,Cikulahan,,35557 Hooker Parkway
76,Roanoke,24034,01375 Sachs Parkway
77,Tawen Aobao,,08 Columbus Avenue
78,Tajinan,,24895 Nelson Parkway
79,Yerofey Pavlovich,676000,130 Bluestem Terrace
80,Kristinehamn,681 84,82 Everett Way
81,Boevange-sur-Attert,L-8711,8049 Vera Plaza
82,Pithári,,12 Bluejay Way
83,Mādabā,,9900 Judy Road
84,Cueto,,8 Buhler Parkway
85,Santa Maria,25903,69473 7th Circle
86,Yangyuan,,135 Sunbrook Avenue
87,Yangji,,3380 Mesta Point
88,Ovsyanka,663083,78734 Dawn Street
89,Qīr Moāv,,9623 Weeping Birch Street
90,Uspenka,,9 Pond Road
91,Lincheng,,911 Hallows Road
92,Jampang Tengah,,77698 Eagan Center
93,Cikole,,840 Paget Drive
94,Muro,4620-620,37399 Brentwood Terrace
95,Banjarsari,,8 Prairieview Road
96,Wujiayao,,78939 Glacier Hill Parkway
97,An Châu,,3275 Hagan Lane
98,Přimda,348 06,506 Packers Hill
99,Digne-les-Bains,04004 CEDEX,3880 Loomis Terrace
100,Puolanka,89201,83 Armistice Lane
101,El Nido,5313,71 Haas Center
102,Vittoriosa,ZTN,65915 Fieldstone Road
103,Laliki,04-358,40643 Linden Road
104,Muting,,3507 Eastlawn Avenue
105,Fengqiao,,8 Coleman Junction
106,Yangdian,,63 Daystar Street
107,Smętowo Graniczne,83-230,39 Chive Park
108,Markala,,37 Stuart Road
109,Changshengqiao,,66 Karstens Alley
110,Gandong,,9 Goodland Street
111,Leping,,5341 Hanson Pass
112,Leluo,,61 Longview Crossing
113,Ogurugu,,8 Mcguire Circle
114,Sukadana,,73188 Anthes Crossing
115,Štítná nad Vláří,763 33,53 Hollow Ridge Lane
116,Kurchatov,307251,1 Nancy Center
117,Obrera,96370,144 Nancy Park
118,Jiangjiazui,,1 Hazelcrest Parkway
119,Magtangol,1114,7720 Pennsylvania Trail
120,Ystad,271 51,33831 Del Mar Trail
121,Ukhta,169309,92408 2nd Place
122,Mingshan,,7737 Chive Plaza
123,Ezhou,,7760 East Hill
124,Périgueux,24004 CEDEX,9 Cordelia Way
125,Al Maḩallah al Kubrá,,627 Lakeland Street
126,Leuwibuleud,,4 Pepper Wood Alley
127,Wangda,,57 School Alley
128,Panimbang,,3 Northport Trail
129,San José El Ídolo,10030,13827 Marcy Hill
130,Dahu,,74 Schurz Park
131,Dahua,,7229 Mcbride Way
