id,city,postal_code,country,address,item
1,Alejandro Roca,2686,Argentina,Rice - Aborio,Wine - George Duboeuf Rose
2,Issoudun,36104 CEDEX,France,Sugar - Cubes,Cookie Choc
3,Goussainville,95697 CEDEX,France,Gingerale - Diet - Schweppes,Cornflakes
4,Lyon,69424 CEDEX 03,France,Vinegar - Red Wine,Wine - Pinot Noir Pond Haddock
5,Leipzig,04317,Germany,Oven Mitts - 15 Inch,Breakfast Quesadillas
6,Senlis,60309 CEDEX,France,"Fish - Artic Char, Cold Smoked",Mince Meat - Filling
7,Honolulu,96825,United States,"Loaf Pan - 2 Lb, Foil",Galliano
8,Villa Cañás,2607,Argentina,Island Oasis - Peach Daiquiri,Lemon Balm - Fresh
9,Halle,06126,Germany,Dawn Professionl Pot And Pan,Salami - Genova
10,Strasbourg,67029 CEDEX 1,France,Wine - Chablis J Moreau Et Fils,Myers Planters Punch
