id,item,price,description,details,notes
1,Dooleys Toffee,7.49,In congue.,in hac habitasse platea,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
2,Pepper Squash,4.86,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",cras pellentesque volutpat dui maecenas,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
3,Sugar - Monocystal / Rock,26.71,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,amet consectetuer adipiscing elit proin,Sed ante. Vivamus tortor. Duis mattis egestas metus.
4,Wine - Merlot Vina Carmen,77.79,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",sed magna at,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
5,Soup - Base Broth Beef,30.17,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,augue vestibulum ante,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
6,"Oil - Olive, Extra Virgin",15.41,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",ut ultrices vel augue,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
7,Wine - Prem Select Charddonany,70.83,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,turpis donec posuere metus vitae,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
8,Compound - Rum,54.04,Donec ut mauris eget massa tempor convallis.,sed augue aliquam,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
9,Ecolab - Lime - A - Way 4/4 L,24.82,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",ultrices enim lorem ipsum dolor,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
10,Wine - Fume Blanc Fetzer,4.64,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,amet erat nulla tempus vivamus,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
11,Rambutan,41.04,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,sagittis nam congue risus,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
12,Salmon - Fillets,69.26,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",porttitor pede justo eu massa,Sed ante. Vivamus tortor. Duis mattis egestas metus.
13,Horseradish Root,69.51,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",pharetra magna vestibulum aliquet ultrices,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
14,Tart - Butter Plain Squares,29.77,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",massa quis augue luctus tincidunt,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
15,Juice - Lime,27.75,Suspendisse potenti.,faucibus orci luctus et ultrices,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
16,Arizona - Plum Green Tea,23.57,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",suspendisse ornare consequat,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
17,Tomato - Tricolor Cherry,92.62,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",aenean sit amet justo morbi,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
18,"Fish - Scallops, Cold Smoked",82.38,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",mattis egestas metus aenean fermentum,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
19,Beef Tenderloin Aaa,50.05,Integer tincidunt ante vel ipsum.,posuere nonummy integer non velit,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
20,Muffin Batt - Carrot Spice,14.01,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,nam dui proin leo,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
21,"Cheese - Brie, Triple Creme",48.69,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,eu mi nulla,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
22,Paste - Black Olive,22.33,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",est donec odio justo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
23,Containter - 3oz Microwave Rect.,27.81,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",vivamus tortor duis mattis egestas,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
24,Crawfish,62.69,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",ultrices posuere cubilia curae,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
25,Soup Knorr Chili With Beans,65.46,Praesent blandit.,molestie hendrerit at,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
26,Ecolab - Solid Fusion,96.57,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,lorem ipsum dolor sit amet,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
27,Tea - English Breakfast,59.86,Sed ante.,suscipit ligula in lacus,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
28,Coffee - Cafe Moreno,60.32,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",pulvinar sed nisl nunc,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
29,Dr. Pepper - 355ml,66.38,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",porta volutpat erat,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
30,Soup - Campbells Broccoli,71.49,Duis aliquam convallis nunc.,maecenas ut massa,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
31,Beer - Rickards Red,91.97,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",leo maecenas pulvinar lobortis est,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
32,"Napkin - Dinner, White",17.24,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,velit eu est congue,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
33,Bok Choy - Baby,89.98,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",sem fusce consequat nulla nisl,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
34,Vodka - Smirnoff,4.61,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",sit amet erat,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
35,Sour Cream,82.78,Cras in purus eu magna vulputate luctus.,odio condimentum id luctus nec,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
36,"Coconut - Shredded, Sweet",72.66,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",sit amet eros suspendisse,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
37,Beer - Moosehead,40.82,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",nullam varius nulla facilisi cras,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
38,Pork Loin Bine - In Frenched,44.76,Suspendisse potenti. Nullam porttitor lacus at turpis.,magna bibendum imperdiet nullam,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
39,Bagelers - Cinn / Brown,12.02,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,ipsum integer a,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
40,Crab Brie In Phyllo,27.46,In hac habitasse platea dictumst.,lobortis est phasellus,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
41,Limes,97.23,Integer ac leo. Pellentesque ultrices mattis odio.,nulla nisl nunc,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
42,Flour Pastry Super Fine,94.08,In sagittis dui vel nisl. Duis ac nibh.,ipsum primis in faucibus orci,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
43,"Juice - Clam, 46 Oz",54.48,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,habitasse platea dictumst etiam,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
44,Pepper - Red Chili,96.49,Curabitur convallis.,id massa id nisl venenatis,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
45,Bar - Granola Trail Mix Fruit Nut,49.16,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",donec posuere metus vitae ipsum,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
46,Tuna - Fresh,99.31,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,pellentesque viverra pede,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
47,Cheese - Brie Roitelet,96.22,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",volutpat sapien arcu sed augue,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
48,Coffee Beans - Chocolate,69.12,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",integer ac neque duis,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
49,Dried Cherries,43.28,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",nulla suscipit ligula in lacus,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
50,Pork - Shoulder,68.39,Duis consequat dui nec nisi volutpat eleifend.,est risus auctor,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
51,Tea - Decaf 1 Cup,12.01,Nunc nisl.,tempus vel pede morbi,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
52,Turnip - Mini,68.92,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sit amet eleifend pede libero,Fusce consequat. Nulla nisl. Nunc nisl.
53,Coffee - Dark Roast,24.65,Nullam porttitor lacus at turpis.,sem mauris laoreet ut,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
54,"Asparagus - White, Fresh",84.01,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",non mi integer,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
55,Spaghetti Squash,55.73,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",volutpat sapien arcu,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
56,Foie Gras,58.41,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,in tempus sit amet sem,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
57,Soup - Campbells Beef Stew,39.21,Donec dapibus. Duis at velit eu est congue elementum.,integer ac neque duis bibendum,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
