id,item,price,description,details,notes
1,Wine - Charddonnay Errazuriz,64.5,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",nulla nisl nunc nisl,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
2,Cheese - Comte,62.08,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,turpis sed ante vivamus,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
3,Wine - Two Oceans Cabernet,79.1,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,mattis pulvinar nulla pede ullamcorper,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
4,Bok Choy - Baby,80.39,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,a libero nam,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
5,Sage - Fresh,75.84,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",ultricies eu nibh quisque,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
6,Tomatoes - Yellow Hot House,98.42,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,nullam orci pede venenatis,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
7,Bag - Clear 7 Lb,79.12,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",eget tincidunt eget,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
8,Cleaner - Bleach,74.77,Pellentesque ultrices mattis odio. Donec vitae nisi.,nascetur ridiculus mus etiam vel,Phasellus in felis. Donec semper sapien a libero. Nam dui.
9,Beef - Top Butt,17.14,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",nulla dapibus dolor vel est,Phasellus in felis. Donec semper sapien a libero. Nam dui.
10,Gingerale - Diet - Schweppes,23.72,Morbi non lectus.,imperdiet et commodo,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
